lycode,pcode,name,status,oldname
01548,G0320008,國庫券及短期借款條例,中華民國91年1月16日修正,國庫券發行條例
01549,G0360023,政府發展經濟社會向國外借款及保證條例,中華民國71年6月8日修正,
01550,G0360022,中央政府建設公債及借款條例,中華民國91年5月14日修正,中央政府建設公債發行條例
01551,,中國農民銀行土地債券法,中華民國37年12月31日修正,
01552,G0360005,民國二十三年第一期鐵路建設公債條例,中華民國23年4月20日制定,
01553,G0360006,第二期鐵路建設公債條例,中華民國25年1月24日制定,
01554,G0360007,第三期鐵路建設公債條例,中華民國25年2月14日制定,
01555,G0360001,民國二十三年六釐英金庚款公債條例,中華民國23年5月18日制定,
01556,G0360008,民國二十六年京贛鐵路建設公債條例,中華民國25年12月11日制定,
01557,G0360002,民國三十六年美金公債條例,中華民國36年3月27日制定,
01559,G0360004,民國三十八年整理美金公債條例,中華民國38年5月24日制定,
01561,G0360030,中華民國五十五年度公債發行條例,中華民國82年12月16日廢止,
01562,G0360031,中華民國五十六年度公債發行條例,中華民國82年12月16日廢止,
01563,G0360011,中華民國五十六年度愛國公債發行條例,中華民國55年5月31日制定,
01564,G0360032,中華民國五十七年度公債發行條例,中華民國82年12月16日廢止,
01565,G0360012,中華民國五十七年度愛國公債發行條例,中華民國56年5月30日制定,
01566,,中華民國五十八年度公債發行條例,中華民國82年12月16日廢止,
01567,,中華民國五十九年度公債發行條例,中華民國82年12月16日廢止,
01568,,中華民國六十年度公債發行條例,中華民國82年9月12日廢止,
01569,G0360013,中華民國六十一年度公債發行條例,中華民國63年1月19日修正,
01570,G0360014,中華民國六十二年度公債發行條例,中華民國63年1月19日修正,
01571,G0360017,中央政府興建臺灣區高速公路第一期工程建設公債發行條例,中華民國63年1月19日修正,
01572,G0360016,臺灣地區公共建設土地債券發行條例,中華民國91年4月25日廢止,
01574,,省市政府建設公債發行條例,中華民國91年4月25日廢止,
01575,G0360015,臺灣地區平均地權土地債券發行條例,中華民國91年4月25日廢止,
01576,,興建臺中港第一期工程建設公債發行條例,中華民國91年5月14日廢止,
01577,,興建臺中港第二期工程建設公債發行條例,中華民國91年5月14日廢止,
01578,,興建臺中港第三期工程建設公債發行條例,中華民國91年5月14日廢止,
01579,G0360021,臺灣鐵路電氣化工程建設公債發行條例,中華民國91年5月14日廢止,
01580,G0360026,臺北市自來水工程建設公債發行條例,中華民國91年5月14日廢止,
01581,G0320017,煤業安定基金條例,中華民國93年6月11日廢止,
01582,G0330001,臺灣省內菸酒專賣暫行條例,中華民國91年5月10日廢止,
01583,G0370001,國有財產法,中華民國107年11月6日修正,
01584,G0400067,會計師法,中華民國106年12月29日修正,
01585,I0020024,信託法,中華民國98年12月15日修正,
01586,G0300026,財政部關稅總局組織條例,中華民國87年10月29日修正,
01587,G0340110,記帳士法,中華民國105年10月21日修正,
01588,G0380058,信用合作社法,中華民國106年12月29日修正,
01589,G0300024,財政部財稅資料中心組織條例,中華民國97年6月12日修正,
01591,G0390060,強制汽車責任保險法,中華民國104年12月18日修正,
01592,G0340107,規費法,中華民國106年5月26日修正,
01597,G0360028,中央政府興建臺灣北部區域第二高速公路建設公債發行條例,中華民國76年1月13日制定,
01599,G0350037,關務人員人事條例,中華民國99年5月4日修正,
01603,D0060076,不動產估價師法,中華民國108年5月31日修正,
01605,G0300027,財政部關稅總局各地區關稅局組織通則,中華民國87年10月29日修正,
01606,G0300028,財政部金融局組織條例,中華民國80年5月17日制定,
01607,G0380048,現行法規所定貨幣單位折算新臺幣條例,中華民國81年6月30日制定,
01608,G0380187,公益彩券發行條例,中華民國105年10月21日修正,
01609,D0050128,儲蓄互助社法,中華民國104年1月23日修正,
01611,G0300030,財政部國有財產局各地區辦事處組織通則,中華民國86年3月21日制定,
01613,G0340108,地方稅法通則,中華民國91年11月19日制定,
01614,G0310027,信託業法,中華民國106年12月29日修正,
01616,G0360033,公共債務法,中華民國102年6月27日全文修正,
01618,G0400100,期貨交易法,中華民國107年12月25日修正,
01622,G0330010,菸酒稅法,中華民國106年5月26日修正,
01623,G0330011,菸酒管理法,中華民國106年12月8日修正,
01624,G0330027,臺灣菸酒股份有限公司條例,中華民國91年4月25日制定,
01625,G0380185,日據時代株式會社台灣銀行海外分支機構存款及匯款處理條例,中華民國90年5月11日修正,日據時代株式會社台灣銀行海外分支機構特別當座預金處理條例
01626,G0340079,期貨交易稅條例,中華民國97年7月15日修正,
